,2000,2010,2020
0,2.0,2.0,2.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,2.0,2.0,2.0
4,2.0,2.0,2.0
5,2.0,2.0,2.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,2.0,2.0,2.0
9,2.0,2.0,2.0
10,0.0,0.0,0.0
11,2.0,2.0,2.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,2.0,2.0,2.0
15,2.0,2.0,2.0
16,2.0,2.0,2.0
17,0.0,0.0,0.0
18,2.0,2.0,2.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,2.0,2.0,2.0
24,2.0,2.0,2.0
25,2.0,2.0,2.0
26,2.0,2.0,2.0
27,0.0,0.0,0.0
28,2.0,2.0,2.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,2.0,2.0,2.0
32,2.0,2.0,2.0
33,2.0,2.0,2.0
34,0.0,0.0,0.0
35,2.0,2.0,2.0
36,2.0,2.0,2.0
37,0.0,0.0,0.0
38,2.0,2.0,2.0
39,2.0,2.0,2.0
40,0.0,0.0,0.0
41,2.0,2.0,2.0
42,3.0,3.0,3.0
43,3.0,3.0,3.0
44,3.0,3.0,3.0
45,3.0,3.0,3.0
46,3.0,3.0,3.0
47,3.0,3.0,3.0
48,0.0,0.0,0.0
49,3.0,3.0,3.0
50,3.0,3.0,3.0
51,3.0,3.0,3.0
52,3.0,3.0,3.0
53,3.0,3.0,3.0
54,3.0,3.0,3.0
55,3.0,3.0,3.0
56,3.0,3.0,3.0
57,2.0,2.0,2.0
58,3.0,3.0,3.0
59,3.0,3.0,3.0
60,3.0,3.0,3.0
61,3.0,3.0,3.0
62,3.0,3.0,3.0
63,3.0,3.0,3.0
64,3.0,3.0,3.0
65,3.0,3.0,3.0
66,0.0,0.0,0.0
67,3.0,3.0,3.0
68,3.0,3.0,3.0
69,3.0,3.0,3.0
70,3.0,3.0,3.0
71,0.0,0.0,0.0
72,3.0,3.0,3.0
73,3.0,3.0,3.0
74,3.0,3.0,3.0
75,3.0,3.0,3.0
76,3.0,3.0,3.0
77,3.0,3.0,3.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,2.0,2.0,2.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,2.0,2.0,2.0
86,2.0,2.0,2.0
87,2.0,2.0,2.0
88,2.0,2.0,2.0
89,0.0,0.0,0.0
90,2.0,2.0,2.0
91,2.0,2.0,2.0
92,2.0,2.0,2.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,6.0,6.0,6.0
96,3.0,3.0,3.0
97,3.0,3.0,3.0
98,3.0,3.0,3.0
99,0.0,0.0,0.0
100,2.0,2.0,2.0
101,3.0,3.0,3.0
102,3.0,3.0,3.0
103,3.0,3.0,3.0
104,0.0,0.0,0.0
105,3.0,3.0,3.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,3.0,3.0,3.0
110,0.0,0.0,0.0
111,3.0,3.0,3.0
112,3.0,3.0,3.0
113,3.0,3.0,3.0
114,3.0,3.0,3.0
115,3.0,3.0,3.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,3.0,3.0,3.0
119,3.0,3.0,3.0
120,3.0,3.0,3.0
121,3.0,3.0,3.0
122,3.0,3.0,3.0
123,3.0,3.0,3.0
124,3.0,3.0,3.0
125,3.0,3.0,3.0
126,3.0,3.0,3.0
127,3.0,3.0,3.0
128,3.0,3.0,3.0
129,3.0,3.0,3.0
130,3.0,3.0,3.0
131,3.0,3.0,3.0
132,3.0,3.0,3.0
133,3.0,3.0,3.0
134,3.0,3.0,3.0
135,3.0,3.0,3.0
136,3.0,3.0,3.0
137,3.0,3.0,3.0
138,3.0,3.0,3.0
139,3.0,3.0,3.0
140,3.0,3.0,3.0
141,3.0,3.0,3.0
142,3.0,3.0,3.0
143,3.0,3.0,3.0
144,3.0,3.0,3.0
145,3.0,3.0,3.0
146,3.0,3.0,3.0
147,3.0,3.0,3.0
148,3.0,3.0,3.0
149,3.0,3.0,3.0
150,3.0,3.0,3.0
151,3.0,3.0,3.0
152,3.0,3.0,3.0
153,3.0,3.0,3.0
154,3.0,3.0,3.0
155,3.0,3.0,3.0
156,3.0,3.0,3.0
157,3.0,3.0,3.0
158,3.0,3.0,3.0
159,3.0,3.0,3.0
160,3.0,3.0,3.0
161,3.0,3.0,3.0
162,3.0,3.0,3.0
