,Año,recaudo,recaudo_1000,IPVU_real_total,IPVU_real_medellin,IPVU_nom_total,IPVU_nom_medellin,IPVU_real_VIS,IPVU_real_noVIS,IPVU_nom_VIS,IPVU_nom_noVIS,PIB,PIB_variacion_total_anual,PIB_ph_variacion_anual,inflacion,tasa_ocupacion,tasa_desempleo,tasa_ocupacion_7a,tasa_desempelo_7a,DTF,tasa_interv_br,cambio_trm,tasa_int_real,var_anual_pib,log_recaudo,log_IPVU_nom_medellin,Property Tax Total,Medellin's IPVU,Tasa Ocupacion,TRM Change
0,2000,23557661683.0,23557661.68,69.73,79.5,439.91,483.88,75.83,67.01,478.39,422.77,1.28736782423051,2.92,1.14 ,8.75,53.01,16.69,51.89,19.69,13.28%,12.00%,2229.18,4.5%,4.42%,23.882716941356026,6.181836942091648,0.8222718050975413,1.1102040586164221,1.8875940687356314,0.5118845119614938
1,2001,27395670625.0,27395670.63,68.2,76.77,464.35,502.84,73.09,66.32,497.65,451.55,0.096779497863423,1.47,(0.29),7.65,55.23,13.84,54.69,16.76,11.40%,8.50%,2291.18,3.8%,1.68%,24.03365083146925,6.22027202804663,0.8019852907956143,1.076837700424666,1.084478792023222,0.3929497324547998
2,2002,23663589770.0,23663589.77,64.72,69.97,468.43,487.03,69.55,62.72,503.39,453.92,0.950680913691301,1.93,0.16 ,6.99,52.24,15.77,55.41,15.74,7.73%,5.25%,2864.79,0.7%,2.50%,23.88720340714931,6.188325722827997,0.8217119023760063,1.1046605972079817,0.8779634351543167,0.7074079913005988
3,2003,32961392950.0,32961392.95,62.28,64.44,482.46,481.16,65.68,61.34,508.78,475.20,2.39393965906274,3.86,2.11 ,6.49,55.23,12.19,56.85,14.46,7.95%,7.25%,2778.21,1.5%,3.92%,24.2186028029272,6.176199855125872,0.7725666241762944,1.114990793546885,0.4649327214165044,0.5413213266281868
4,2004,30418073021.45,30418073.02,64.4,66.54,528.25,528.49,65.73,64.45,539.18,528.72,3.85080534763809,4.87,3.15 ,5.5,53.56,12.07,55.59,13.36,7.76%,6.50%,2389.75,2.3%,5.33%,24.13830277599368,6.270023883655404,0.7860098174790225,1.0316980860987932,0.8263345959370885,0.20386261606810882
5,2005,37895459771.0,37895459.77,66.44,67.45,572.65,564.61,65.56,67.83,565.06,584.60,3.42332222613126,4.72,3.10 ,4.85,55.16,10.33,56.92,11.62,6.30%,6.00%,2284.22,1.5%,4.71%,24.35809714689838,6.336135227316808,0.746486690897473,0.9681330619486751,0.44485483949869403,0.40630112060587387
6,2006,46831742600.0,46831742.6,72.56,73.68,652.03,638.18,69.24,74.22,622.15,666.92,5.35040251622438,6.7,5.5,4.48,50.88,11.78,53.68,11.79,6.75%,7.50%,2238.79,2.3%,6.72%,24.56982707063895,6.458620375214578,0.6992522961484853,0.8386624410537645,1.3741739454087694,0.49344962113795593
7,2007,62826773541.0,62826773.54,79.71,82.32,756.07,754.15,77.39,81.55,734.06,773.49,5.42863484691856,6.7,5.5,5.69,52.43,9.89,56.63,9.46,8.98%,9.50%,2014.76,3.3%,6.74%,24.863647149838336,6.625591287214261,0.6147075676582823,0.6345750697722257,0.5280346360153363,0.9232070187651275
8,2008,53441214425.0,53441214.43,87.12,89.94,884.62,883.86,85.94,88.08,872.70,894.39,2.07578409424285,3.3,2.1,7.67,52.22,10.61,55.82,10.48,10.12%,9.50%,2243.59,2.4%,3.28%,24.701848090935304,6.784298679054902,0.6643166962756578,0.40630764777577494,0.7603644124928557,0.48424176724066315
9,2009,65181543368.0,65181543.37,92.03,93.28,973.87,957.64,92.64,92.44,980.39,978.26,0.020713246414928,1.1,0.0,2.0,55.5,11.31,58.42,11.81,4.12%,3.50%,2044.23,2.1%,1.14%,24.900442188627196,6.864471924465779,0.602260991192442,0.2764674627869682,0.014614512688474234,0.8666746324415424
