Año,recaudo,recaudo_1000000000,IPVU_real_total,IPVU_real_medellin,IPVU_nom_total,IPVU_nom_medellin,IPVU_real_VIS,IPVU_real_noVIS,IPVU_nom_VIS,IPVU_nom_noVIS,PIB,PIB_variacion_total_anual,PIB_ph_variacion_anual,inflacion,tasa_ocupacion,tasa_desempleo,tasa_ocupacion_7a,tasa_desempelo_7a,DTF,tasa_interv_br,cambio_trm,tasa_int_real,var_anual_pib
2000," $ 23,557,661,683.00 ", $ 23.56 ,69.73,79.50,439.91,483.88,75.83,67.01,478.39,422.77,1.28736782423051,2.92 ,1.14 ,8.75,53.01,16.69,51.89,19.69,13.28%,12.00%,"2,229.18",4.5%,4.42%
2001," $ 27,395,670,625.00 ", $ 27.40 ,68.20,76.77,464.35,502.84,73.09,66.32,497.65,451.55,0.096779497863423,1.47 ,(0.29),7.65,55.23,13.84,54.69,16.76,11.40%,8.50%,"2,291.18",3.8%,1.68%
2002," $ 23,663,589,770.00 ", $ 23.66 ,64.72,69.97,468.43,487.03,69.55,62.72,503.39,453.92,0.950680913691301,1.93 ,0.16 ,6.99,52.24,15.77,55.41,15.74,7.73%,5.25%,"2,864.79",0.7%,2.50%
2003," $ 32,961,392,950.00 ", $ 32.96 ,62.28,64.44,482.46,481.16,65.68,61.34,508.78,475.20,2.39393965906274,3.86 ,2.11 ,6.49,55.23,12.19,56.85,14.46,7.95%,7.25%,"2,778.21",1.5%,3.92%
2004," $ 30,418,073,021.45 ", $ 30.42 ,64.40,66.54,528.25,528.49,65.73,64.45,539.18,528.72,3.85080534763809,4.87 ,3.15 ,5.50,53.56,12.07,55.59,13.36,7.76%,6.50%,"2,389.75",2.3%,5.33%
2005," $ 37,895,459,771.00 ", $ 37.90 ,66.44,67.45,572.65,564.61,65.56,67.83,565.06,584.60,3.42332222613126,4.72 ,3.10 ,4.85,55.16,10.33,56.92,11.62,6.30%,6.00%,"2,284.22",1.5%,4.71%
2006," $ 46,831,742,600.00 ", $ 46.83 ,72.56,73.68,652.03,638.18,69.24,74.22,622.15,666.92,5.35040251622438,6.7,5.5,4.48,50.88,11.78,53.68,11.79,6.75%,7.50%,"2,238.79",2.3%,6.72%
2007," $ 62,826,773,541.00 ", $ 62.83 ,79.71,82.32,756.07,754.15,77.39,81.55,734.06,773.49,5.42863484691856,6.7,5.5,5.69,52.43,9.89,56.63,9.46,8.98%,9.50%,"2,014.76",3.3%,6.74%
2008," $ 53,441,214,425.00 ", $ 53.44 ,87.12,89.94,884.62,883.86,85.94,88.08,872.70,894.39,2.07578409424285,3.3,2.1,7.67,52.22,10.61,55.82,10.48,10.12%,9.50%,"2,243.59",2.4%,3.28%
2009," $ 65,181,543,368.00 ", $ 65.18 ,92.03,93.28,973.87,957.64,92.64,92.44,980.39,978.26,0.020713246414928,1.1,0.0,2.00,55.50,11.31,58.42,11.81,4.12%,3.50%,"2,044.23",2.1%,1.14%
